教5.日間學制生師比-以「校」統計,,,,,,,
學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間學制學生數,日間專任教師(含助教),日間生師比(%)
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,5278,333,15.85
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,8494,243,34.95
107,私立,技專校院,1072,大華學校財團法人大華科技大學,1156,79,14.63
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,6666,221,30.16
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,841,87,9.67
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,7352,265,27.74
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,2915,145,20.10
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,2883,158,18.25
107,私立,技專校院,1078,致理學校財團法人致理科技大學,8246,274,30.09
107,私立,一般大學,1079,康寧學校財團法人康寧大學,3567,122,29.24
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,4017,186,21.60
107,私立,技專校院,1081,東方學校財團法人東方設計大學,2611,122,21.40
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,2415,98,24.64
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,4508,144,31.31
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,661,48,13.77
107,私立,技專校院,1148,大漢技術學院,412,49,8.41
107,私立,技專校院,1159,和春技術學院,603,74,8.15
107,私立,技專校院,1166,亞東技術學院,4410,157,28.09
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,2116,114,18.56
107,私立,一般大學,1176,稻江科技暨管理學院,1540,57,27.02
107,私立,技專校院,1182,蘭陽技術學院,921,78,11.81
107,私立,技專校院,1183,黎明技術學院,3909,158,24.74
107,私立,技專校院,1185,經國管理暨健康學院,3390,141,24.04
107,私立,技專校院,1188,大同技術學院,1245,63,19.76
107,私立,技專校院,1192,臺灣觀光學院,575,24,23.96
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,708,125,5.66
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,280,23,12.17
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,3974,137,29.01
107,私立,技專校院,1283,仁德醫護管理專科學校,6073,202,30.06
107,私立,技專校院,1284,樹人醫護管理專科學校,6620,224,29.55
107,私立,技專校院,1285,慈惠醫護管理專科學校,4773,152,31.40
107,私立,技專校院,1286,耕莘健康管理專科學校,4987,172,28.99
107,私立,技專校院,1287,敏惠醫護管理專科學校,3869,124,31.20
107,私立,技專校院,1289,育英醫護管理專科學校,2013,70,28.76
107,私立,技專校院,1291,聖母醫護管理專科學校,2777,94,29.54
107,私立,技專校院,1292,新生醫護管理專科學校,5964,209,28.54
107,私立,技專校院,1293,崇仁醫護管理專科學校,3392,129,26.29
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,31,12,2.58
107,私立,宗教研修學院,1R03,臺北基督學院,89,11,8.09
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,98,9,10.89
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,93,16,5.81
107,私立,宗教研修學院,1R06,一貫道崇德學院,50,6,8.33
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,47,10,4.70
107,公立,一般大學,3002,臺北市立大學,6738,334,20.17
 ,,,,,,,
統計說明,,,,,,,
一、學年度：係指【學年度】為篩選條件。,,,,,,,
二、設立別：係指【公立、私立】大學校院等分類。,,,,,,,
三、學校類別：係指【一般大學、技專校院、宗教研修學院】等。,,,,,,,
四、學校名稱：係指【學校校名】。,,,,,,,
五、日間學制學生數,,,,,,,
1.	學生數：係指資料包含資料標準日(10月15日)在學且有正式學籍之本國籍學生、僑生、外國籍學生與陸生在內；休退學、選讀生、學分班、交換生(非學位生)、保留入學資格或無學籍學生則不列入計算。,,,,,,,
2.	日間學制係指【二專(日間)、五專(含七)、學士班(日間)、碩士班(日間)、博士班】；其中學士班(日間)包含大學四年制(或四技)、大學二年制(或二技)及學士後第二專長學位學程，五專(含七)包含五專及七年一貫制。,,,,,,,
3.	本表「五專(含七)」包括五專及七年一貫制，其中「七年一貫」係指：,,,,,,,
(1)	藝術大學藝術類科「七年一貫」學制之前3年(後四年歸屬為「大學四年制」)。,,,,,,,
(2)	技專校院「七年一貫」學制之前5年(後二年歸屬為「二技」)。,,,,,,,
六、日間專任教師(含助教)：,,,,,,,
1.	專任教師：係指學校依據「教師法」、「教育人員任用條例」、「大學聘任專業技術人員擔任教學辦法」、「國立大學校務基金進用教學人員研究人員及工作人員實施原則」、「專科學校專業及技術教師遴聘辦法」、「學校教職員退休條例」、「學校法人及其所屬私立學校教職員退休撫卹離職資遣條例」、「公立專科以上學校辦理教授副教授延長服務案件處理要點」、學校制定「專任教師基本授課時數」等相關規定聘任之專任教師人數，包括任教中、帶職帶薪、留職停薪及借調到政府單位、學校聘任之境內、外之專任教師，但不包括借調至他校或民間之專任教師。,,,,,,,
2.	日間學制專任教師數係指授課於日間學制【二專(日間)、五專、學士班(日間)、碩士班(日間)、博士班】之專任教師人數；不包括僅授課於進修學制(含在職)【二專(進修)、學士班(進修)、碩士班(在職)、附設進院、附設進專】之專任教師。,,,,,,,
七、日間生師比(%)：日間生師比：係指【日間學制學生】占【日間學制專任教師】之比率。,,,,,,,
八、資料來源：資料由【教育部高教司大學校院校務資料庫】之「教1. 專兼任教師明細表」、「學1.正式學籍在學學生人數統計表」及【教育部技職司技專校院校務資料庫】之「表1-1教師基本資料表」、「表4-2 各年級實際在學學生人數」產出，並由【教育部統計處】彙整提供，以每年10月15日為統計基準日。,,,,,,,
